Current Round,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,,,,,,,,,,,
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,10,10,,11,11,,12,12,,13,13,,14,14,,15,15,,16,16,,17,17,,18,18,,,,,,,,,,,,
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Day 3 Points,Total Points,Top 4s + Firsts,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eighths
22,CTG robinsongz,0,3,4,,3,3,,1,3,,1,2,,4,1,,4,1,,1,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,8,2,1,2,1,0,0,0,1
3,100T Dishsoap,0,1,2,,1,5,,2,1,,2,1,,1,5,,1,6,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,6,2,1,1,0,2,1,0,0
6,Filup,0,1,3,,1,2,,4,7,,4,3,,1,4,,1,2,,1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,5,0,2,2,1,0,0,2,0
30,Z10 bossoskills,0,4,3,,4,1,,2,5,,2,7,,3,5,,3,3,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,5,1,1,2,0,2,0,1,0
23,VA PA CASA,0,3,2,,3,2,,3,3,,3,7,,2,6,,2,4,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,6,1,2,1,1,0,1,1,0
31,Chunington,0,4,7,,4,4,,1,2,,1,4,,3,6,,3,4,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,5,0,1,0,4,0,1,1,0
5,ArtixRx,0,1,8,,1,1,,3,8,,3,3,,4,2,,4,7,,1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,4,1,1,1,0,0,1,1,2
27,Bapzera,0,4,5,,4,5,,4,4,,4,6,,1,3,,1,7,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,2,0,0,1,1,3,1,1,0
4,dehua,0,1,7,,1,7,,1,1,,1,1,,1,2,,1,1,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,8,3,2,0,0,0,0,2,0
8,TT arkjow,0,1,1,,1,4,,4,8,,4,5,,2,1,,2,1,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,8,3,0,1,1,1,0,0,1
10,TexSummers,0,2,1,,2,2,,1,6,,1,3,,4,4,,4,6,,2,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,6,1,1,1,2,0,2,0,0
21,Cash,0,3,7,,3,5,,2,4,,2,2,,1,1,,1,5,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,6,2,1,0,1,2,0,1,0
17,wasianiverson,0,3,3,,3,7,,2,3,,2,6,,3,3,,3,2,,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,4,0,1,3,0,0,2,1,0
20,100T Rereplay,0,3,1,,3,8,,3,4,,3,4,,4,6,,4,4,,2,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,5,1,0,0,3,0,1,1,1
13,BrosephTFT,0,2,3,,2,8,,3,2,,3,5,,1,8,,1,3,,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,3,0,1,2,0,2,0,0,2
26,Taliyent,0,4,8,,4,2,,1,5,,1,7,,4,3,,4,5,,2,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,2,0,1,1,0,2,0,1,2
11,setsuko,0,2,2,,2,3,,2,2,,2,4,,3,2,,3,6,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,6,0,3,2,1,0,1,0,0
14,bopster,0,2,8,,2,1,,4,1,,4,1,,2,7,,2,2,,3,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,7,3,1,0,0,1,0,1,1
32,Cambulee,0,4,2,,4,3,,3,1,,3,8,,3,1,,3,8,,3,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,7,2,2,1,0,0,0,0,2
25,Marcel P,0,4,1,,4,8,,4,3,,4,4,,2,4,,2,3,,3,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,6,1,0,2,2,0,0,1,1
29,Macmeno,0,4,4,,4,6,,3,5,,3,6,,3,4,,3,1,,3,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,4,1,0,0,2,1,3,0,0
12,Quintaliha,0,2,6,,2,6,,4,2,,4,2,,4,7,,4,3,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,4,0,2,1,1,0,2,1,0
9,Kurumx,0,2,4,,2,5,,1,4,,1,6,,4,8,,4,2,,3,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,5,1,1,0,2,1,1,0,1
15,J or C,0,2,7,,2,4,,2,6,,2,3,,2,2,,2,8,,3,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,3,0,1,1,1,0,1,1,2
16,VIT MILK,0,2,5,,2,7,,3,7,,3,2,,1,6,,1,4,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,2,0,1,0,1,1,1,2,0
19,PockyGom,0,3,5,,3,1,,1,8,,1,5,,2,8,,2,5,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,2,1,0,0,0,3,0,0,2
1,Grea,0,1,6,,1,3,,2,7,,2,5,,2,5,,2,6,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,1,0,0,1,0,2,2,1,0
7,Darth Nub,0,1,5,,1,8,,3,6,,3,1,,3,8,,3,7,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,2,1,0,0,0,1,1,1,2
2,AnkallE,0,1,4,,1,6,,4,5,,4,7,,4,5,,4,8,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,1,0,0,0,1,2,1,1,1
24,TL VCLF,0,3,8,,3,4,,1,7,,1,8,,2,3,,2,7,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,2,0,0,1,1,0,0,2,2
18,trevisan,0,3,6,,3,6,,4,6,,4,8,,3,7,,3,5,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,0,0,0,0,1,3,1,1
28,Upsetmax1,0,4,6,,4,7,,2,8,,2,8,,1,7,,1,8,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,0,0,0,0,1,2,3
